,category,section,method,method_url,question
0,General functions,Data manipulations,pandas.melt,api/pandas.melt.html#pandas.melt,"Unpivot a DataFrame from wide to long format, optionally leaving identifiers set."
1,General functions,Data manipulations,pandas.pivot,api/pandas.pivot.html#pandas.pivot,Return reshaped DataFrame organized by given index / column values.
2,General functions,Data manipulations,pandas.pivot_table,api/pandas.pivot_table.html#pandas.pivot_table,Create a spreadsheet-style pivot table as a DataFrame.
3,General functions,Data manipulations,pandas.crosstab,api/pandas.crosstab.html#pandas.crosstab,Compute a simple cross tabulation of two (or more) factors.
4,General functions,Data manipulations,pandas.cut,api/pandas.cut.html#pandas.cut,Bin values into discrete intervals.
5,General functions,Data manipulations,pandas.qcut,api/pandas.qcut.html#pandas.qcut,Quantile-based discretization function.
6,General functions,Data manipulations,pandas.merge,api/pandas.merge.html#pandas.merge,Merge DataFrame or named Series objects with a database-style join.
7,General functions,Data manipulations,pandas.merge_ordered,api/pandas.merge_ordered.html#pandas.merge_ordered,Perform a merge for ordered data with optional filling/interpolation.
8,General functions,Data manipulations,pandas.merge_asof,api/pandas.merge_asof.html#pandas.merge_asof,Perform a merge by key distance.
9,General functions,Data manipulations,pandas.concat,api/pandas.concat.html#pandas.concat,Concatenate pandas objects along a particular axis.
10,General functions,Data manipulations,pandas.get_dummies,api/pandas.get_dummies.html#pandas.get_dummies,Convert categorical variable into dummy/indicator variables.
11,General functions,Data manipulations,pandas.from_dummies,api/pandas.from_dummies.html#pandas.from_dummies,Create a categorical DataFrame from a DataFrame of dummy variables.
12,General functions,Data manipulations,pandas.factorize,api/pandas.factorize.html#pandas.factorize,Encode the object as an enumerated type or categorical variable.
13,General functions,Data manipulations,pandas.unique,api/pandas.unique.html#pandas.unique,Return unique values based on a hash table.
14,General functions,Data manipulations,pandas.lreshape,api/pandas.lreshape.html#pandas.lreshape,Reshape wide-format data to long.
15,General functions,Data manipulations,pandas.wide_to_long,api/pandas.wide_to_long.html#pandas.wide_to_long,Unpivot a DataFrame from wide to long format.
16,General functions,Top-level missing data,pandas.isna,api/pandas.isna.html#pandas.isna,Detect missing values for an array-like object.
17,General functions,Top-level missing data,pandas.isnull,api/pandas.isnull.html#pandas.isnull,Detect missing values for an array-like object.
18,General functions,Top-level missing data,pandas.notna,api/pandas.notna.html#pandas.notna,Detect non-missing values for an array-like object.
19,General functions,Top-level missing data,pandas.notnull,api/pandas.notnull.html#pandas.notnull,Detect non-missing values for an array-like object.
20,General functions,Top-level dealing with numeric data,pandas.to_numeric,api/pandas.to_numeric.html#pandas.to_numeric,Convert argument to a numeric type.
21,General functions,Top-level dealing with datetimelike data,pandas.to_datetime,api/pandas.to_datetime.html#pandas.to_datetime,Convert argument to datetime.
22,General functions,Top-level dealing with datetimelike data,pandas.to_timedelta,api/pandas.to_timedelta.html#pandas.to_timedelta,Convert argument to timedelta.
23,General functions,Top-level dealing with datetimelike data,pandas.date_range,api/pandas.date_range.html#pandas.date_range,Return a fixed frequency DatetimeIndex.
24,General functions,Top-level dealing with datetimelike data,pandas.bdate_range,api/pandas.bdate_range.html#pandas.bdate_range,Return a fixed frequency DatetimeIndex with business day as the default.
25,General functions,Top-level dealing with datetimelike data,pandas.period_range,api/pandas.period_range.html#pandas.period_range,Return a fixed frequency PeriodIndex.
26,General functions,Top-level dealing with datetimelike data,pandas.timedelta_range,api/pandas.timedelta_range.html#pandas.timedelta_range,Return a fixed frequency TimedeltaIndex with day as the default.
27,General functions,Top-level dealing with datetimelike data,pandas.infer_freq,api/pandas.infer_freq.html#pandas.infer_freq,Infer the most likely frequency given the input index.
28,General functions,Top-level dealing with Interval data,pandas.interval_range,api/pandas.interval_range.html#pandas.interval_range,Return a fixed frequency IntervalIndex.
29,General functions,Top-level evaluation,pandas.eval,api/pandas.eval.html#pandas.eval,Evaluate a Python expression as a string using various backends.
30,General functions,Datetime formats,pandas.tseries.api.guess_datetime_format,api/pandas.tseries.api.guess_datetime_format.html#pandas.tseries.api.guess_datetime_format,Guess the datetime format of a given datetime string.
31,General functions,Hashing,pandas.util.hash_array,api/pandas.util.hash_array.html#pandas.util.hash_array,"Given a 1d array, return an array of deterministic integers."
32,General functions,Hashing,pandas.util.hash_pandas_object,api/pandas.util.hash_pandas_object.html#pandas.util.hash_pandas_object,Return a data hash of the Index/Series/DataFrame.
33,General functions,Importing from other DataFrame libraries,pandas.api.interchange.from_dataframe,api/pandas.api.interchange.from_dataframe.html#pandas.api.interchange.from_dataframe,Build a pd.DataFrame from any DataFrame supporting the interchange protocol.
0,DataFrame,Constructor,pandas.DataFrame,api/pandas.DataFrame.html#pandas.DataFrame,"Two-dimensional, size-mutable, potentially heterogeneous tabular data."
1,DataFrame,Attributes and underlying data,pandas.DataFrame.index,api/pandas.DataFrame.index.html#pandas.DataFrame.index,The index (row labels) of the DataFrame.
2,DataFrame,Attributes and underlying data,pandas.DataFrame.columns,api/pandas.DataFrame.columns.html#pandas.DataFrame.columns,The column labels of the DataFrame.
3,DataFrame,Attributes and underlying data,pandas.DataFrame.dtypes,api/pandas.DataFrame.dtypes.html#pandas.DataFrame.dtypes,Return the dtypes in the DataFrame.
4,DataFrame,Attributes and underlying data,pandas.DataFrame.info,api/pandas.DataFrame.info.html#pandas.DataFrame.info,Print a concise summary of a DataFrame.
5,DataFrame,Attributes and underlying data,pandas.DataFrame.select_dtypes,api/pandas.DataFrame.select_dtypes.html#pandas.DataFrame.select_dtypes,Return a subset of the DataFrame's columns based on the column dtypes.
6,DataFrame,Attributes and underlying data,pandas.DataFrame.values,api/pandas.DataFrame.values.html#pandas.DataFrame.values,Return a Numpy representation of the DataFrame.
7,DataFrame,Attributes and underlying data,pandas.DataFrame.axes,api/pandas.DataFrame.axes.html#pandas.DataFrame.axes,Return a list representing the axes of the DataFrame.
8,DataFrame,Attributes and underlying data,pandas.DataFrame.ndim,api/pandas.DataFrame.ndim.html#pandas.DataFrame.ndim,Return an int representing the number of axes / array dimensions.
9,DataFrame,Attributes and underlying data,pandas.DataFrame.size,api/pandas.DataFrame.size.html#pandas.DataFrame.size,Return an int representing the number of elements in this object.
10,DataFrame,Attributes and underlying data,pandas.DataFrame.shape,api/pandas.DataFrame.shape.html#pandas.DataFrame.shape,Return a tuple representing the dimensionality of the DataFrame.
11,DataFrame,Attributes and underlying data,pandas.DataFrame.memory_usage,api/pandas.DataFrame.memory_usage.html#pandas.DataFrame.memory_usage,Return the memory usage of each column in bytes.
12,DataFrame,Attributes and underlying data,pandas.DataFrame.empty,api/pandas.DataFrame.empty.html#pandas.DataFrame.empty,Indicator whether Series/DataFrame is empty.
13,DataFrame,Attributes and underlying data,pandas.DataFrame.set_flags,api/pandas.DataFrame.set_flags.html#pandas.DataFrame.set_flags,Return a new object with updated flags.
14,DataFrame,Conversion,pandas.DataFrame.astype,api/pandas.DataFrame.astype.html#pandas.DataFrame.astype,Cast a pandas object to a specified dtype dtype.
15,DataFrame,Conversion,pandas.DataFrame.convert_dtypes,api/pandas.DataFrame.convert_dtypes.html#pandas.DataFrame.convert_dtypes,Convert columns to the best possible dtypes using dtypes supporting pd.NA.
16,DataFrame,Conversion,pandas.DataFrame.infer_objects,api/pandas.DataFrame.infer_objects.html#pandas.DataFrame.infer_objects,Attempt to infer better dtypes for object columns.
17,DataFrame,Conversion,pandas.DataFrame.copy,api/pandas.DataFrame.copy.html#pandas.DataFrame.copy,Make a copy of this object's indices and data.
19,DataFrame,"Indexing, iteration",pandas.DataFrame.head,api/pandas.DataFrame.head.html#pandas.DataFrame.head,Return the first n rows.
20,DataFrame,"Indexing, iteration",pandas.DataFrame.at,api/pandas.DataFrame.at.html#pandas.DataFrame.at,Access a single value for a row/column label pair.
21,DataFrame,"Indexing, iteration",pandas.DataFrame.iat,api/pandas.DataFrame.iat.html#pandas.DataFrame.iat,Access a single value for a row/column pair by integer position.
22,DataFrame,"Indexing, iteration",pandas.DataFrame.loc,api/pandas.DataFrame.loc.html#pandas.DataFrame.loc,Access a group of rows and columns by label(s) or a boolean array.
24,DataFrame,"Indexing, iteration",pandas.DataFrame.insert,api/pandas.DataFrame.insert.html#pandas.DataFrame.insert,Insert column into DataFrame at specified location.
25,DataFrame,"Indexing, iteration",pandas.DataFrame.__iter__,api/pandas.DataFrame.__iter__.html#pandas.DataFrame.__iter__,Iterate over info axis.
26,DataFrame,"Indexing, iteration",pandas.DataFrame.items,api/pandas.DataFrame.items.html#pandas.DataFrame.items,"Iterate over (column name, Series) pairs."
27,DataFrame,"Indexing, iteration",pandas.DataFrame.keys,api/pandas.DataFrame.keys.html#pandas.DataFrame.keys,Get the 'info axis' (see Indexing for more).
28,DataFrame,"Indexing, iteration",pandas.DataFrame.iterrows,api/pandas.DataFrame.iterrows.html#pandas.DataFrame.iterrows,"Iterate over DataFrame rows as (index, Series) pairs."
